,grado,lambda,MSE_entrenamiento_OLS,MSE_entrenamiento_ridge,MSE_prueba_OLS,MSE_prueba_ridge
199,2.0,0.99,0.4621871976939597,0.8231822402590174,1.4784646016971357,1.1883029313187747
200,3.0,0.0,0.3430367040214022,0.3430367040214022,0.7649805622233483,0.7649805622233483
201,3.0,0.01,0.3430367040214022,0.3431925962803836,0.7649805622233483,0.7635636207796944
202,3.0,0.02,0.3430367040214022,0.34363084266110766,0.7649805622233483,0.7639660382475212
203,3.0,0.03,0.3430367040214022,0.34431489858956965,0.7649805622233483,0.7657787689539124
204,3.0,0.04,0.3430367040214022,0.3452160709685542,0.7649805622233483,0.768694090470952
205,3.0,0.05,0.3430367040214022,0.34631140778763236,0.7649805622233483,0.7724777351191001
206,3.0,0.06,0.3430367040214022,0.34758222155149926,0.7649805622233483,0.776949388927926
207,3.0,0.07,0.3430367040214022,0.3490130402811963,0.7649805622233483,0.7819688447337327
208,3.0,0.08,0.3430367040214022,0.35059085169427223,0.7649805622233483,0.7874260383086367
209,3.0,0.09,0.3430367040214022,0.35230455143060646,0.7649805622233483,0.7932337908376472
210,3.0,0.1,0.3430367040214022,0.35414453524759204,0.7649805622233483,0.7993224632696357
211,3.0,0.11,0.3430367040214022,0.35610239408956845,0.7649805622233483,0.8056359781386959
212,3.0,0.12,0.3430367040214022,0.3581706835348854,0.7649805622233483,0.812128830703488
213,3.0,0.13,0.3430367040214022,0.36034274760991697,0.7649805622233483,0.8187638234170642
214,3.0,0.14,0.3430367040214022,0.36261258275325514,0.7649805622233483,0.8255103344509838
215,3.0,0.15,0.3430367040214022,0.36497473171933575,0.7649805622233483,0.8323429841263833
216,3.0,0.16,0.3430367040214022,0.3674242000132396,0.7649805622233483,0.8392406003352869
217,3.0,0.17,0.3430367040214022,0.3699563894304051,0.7649805622233483,0.8461854104104546
218,3.0,0.18,0.3430367040214022,0.37256704469106117,0.7649805622233483,0.8531624057785004
219,3.0,0.19,0.3430367040214022,0.3752522101806977,0.7649805622233483,0.8601588393699607
220,3.0,0.2,0.3430367040214022,0.37800819455133966,0.7649805622233483,0.8671638257030916
221,3.0,0.21,0.3430367040214022,0.38083154148411813,0.7649805622233483,0.874168020867631
222,3.0,0.22,0.3430367040214022,0.3837190053173303,0.7649805622233483,0.8811633650512636
223,3.0,0.23,0.3430367040214022,0.38666753054523517,0.7649805622233483,0.8881428742947488
224,3.0,0.24,0.3430367040214022,0.3896742344187219,0.7649805622233483,0.8951004712010301
225,3.0,0.25,0.3430367040214022,0.39273639204989563,0.7649805622233483,0.902030846624049
226,3.0,0.26,0.3430367040214022,0.39585142355248326,0.7649805622233483,0.9089293461143491
227,3.0,0.27,0.3430367040214022,0.3990168828495508,0.7649805622233483,0.9157918762405022
228,3.0,0.28,0.3430367040214022,0.40223044785654605,0.7649805622233483,0.9226148269388941
229,3.0,0.29,0.3430367040214022,0.40548991180706834,0.7649805622233483,0.929395006845074
230,3.0,0.3,0.3430367040214022,0.40879317553494254,0.7649805622233483,0.9361295891830599
231,3.0,0.31,0.3430367040214022,0.41213824056234327,0.7649805622233483,0.9428160662764571
232,3.0,0.32,0.3430367040214022,0.4155232028721963,0.7649805622233483,0.9494522111283252
233,3.0,0.33,0.3430367040214022,0.4189462472655253,0.7649805622233483,0.9560360448191532
234,3.0,0.34,0.3430367040214022,0.4224056422224167,0.7649805622233483,0.96256580871204
235,3.0,0.35000000000000003,0.3430367040214022,0.42589973519940094,0.7649805622233483,0.9690399406447505
236,3.0,0.36,0.3430367040214022,0.4294269483076553,0.7649805622233483,0.9754570544409861
237,3.0,0.37,0.3430367040214022,0.4329857743255503,0.7649805622233483,0.9818159221952236
238,3.0,0.38,0.3430367040214022,0.4365747730066244,0.7649805622233483,0.9881154588838819
239,3.0,0.39,0.3430367040214022,0.44019256765010256,0.7649805622233483,0.994354708935124
240,3.0,0.4,0.3430367040214022,0.44383784190607234,0.7649805622233483,1.0005328344537563
241,3.0,0.41000000000000003,0.3430367040214022,0.44750933679149574,0.7649805622233483,1.0066491048501576
242,3.0,0.42,0.3430367040214022,0.4512058478966239,0.7649805622233483,1.0127028876647208
243,3.0,0.43,0.3430367040214022,0.45492622276414757,0.7649805622233483,1.018693640414238
244,3.0,0.44,0.3430367040214022,0.4586693584257605,0.7649805622233483,1.0246209033151927
245,3.0,0.45,0.3430367040214022,0.4624341990827316,0.7649805622233483,1.0304842927624878
246,3.0,0.46,0.3430367040214022,0.4662197339187473,0.7649805622233483,1.0362834954615163
247,3.0,0.47000000000000003,0.3430367040214022,0.4700249950346256,0.7649805622233483,1.0420182631275472
248,3.0,0.48,0.3430367040214022,0.4738490554957097,0.7649805622233483,1.0476884076797075
249,3.0,0.49,0.3430367040214022,0.47769102748371906,0.7649805622233483,1.0532937968677851
250,3.0,0.5,0.3430367040214022,0.48155006054571453,0.7649805622233483,1.0588343502795472
251,3.0,0.51,0.3430367040214022,0.4854253399335392,0.7649805622233483,1.0643100356836197
252,3.0,0.52,0.3430367040214022,0.489316085027776,0.7649805622233483,1.069720865669776
253,3.0,0.53,0.3430367040214022,0.49322154784077166,0.7649805622233483,1.0750668945535944
254,3.0,0.54,0.3430367040214022,0.49714101159378943,0.7649805622233483,1.0803482155171908
255,3.0,0.55,0.3430367040214022,0.5010737893637722,0.7649805622233483,1.085564957961614
256,3.0,0.56,0.3430367040214022,0.5050192227955648,0.7649805622233483,1.090717285049428
257,3.0,0.5700000000000001,0.3430367040214022,0.5089766808757873,0.7649805622233483,1.0958053914192525
258,3.0,0.58,0.3430367040214022,0.512945558764818,0.7649805622233483,1.1008295010559457
259,3.0,0.59,0.3430367040214022,0.5169252766836612,0.7649805622233483,1.1057898653023042
260,3.0,0.6,0.3430367040214022,0.5209152788526366,0.7649805622233483,1.1106867609999314
261,3.0,0.61,0.3430367040214022,0.5249150324791318,0.7649805622233483,1.1155204887482104
262,3.0,0.62,0.3430367040214022,0.5289240267917621,0.7649805622233483,1.1202913712717075
263,3.0,0.63,0.3430367040214022,0.5329417721184954,0.7649805622233483,1.1249997518873567
264,3.0,0.64,0.3430367040214022,0.53696779900651,0.7649805622233483,1.12964599306374
265,3.0,0.65,0.3430367040214022,0.541001657381565,0.7649805622233483,1.1342304750655947
266,3.0,0.66,0.3430367040214022,0.5450429157449646,0.7649805622233483,1.1387535946773188
267,3.0,0.67,0.3430367040214022,0.5490911604061661,0.7649805622233483,1.1432157639999363
268,3.0,0.68,0.3430367040214022,0.5531459947493009,0.7649805622233483,1.1476174093164766
269,3.0,0.6900000000000001,0.3430367040214022,0.5572070385319281,0.7649805622233483,1.1519589700212445
270,3.0,0.7000000000000001,0.3430367040214022,0.5612739272144357,0.7649805622233483,1.1562408976087555
271,3.0,0.71,0.3430367040214022,0.5653463113186528,0.7649805622233483,1.1604636547185825
272,3.0,0.72,0.3430367040214022,0.5694238558142033,0.7649805622233483,1.1646277142326817
273,3.0,0.73,0.3430367040214022,0.5735062395313593,0.7649805622233483,1.1687335584219807
274,3.0,0.74,0.3430367040214022,0.5775931545990802,0.7649805622233483,1.1727816781392717
275,3.0,0.75,0.3430367040214022,0.5816843059070784,0.7649805622233483,1.1767725720557896
276,3.0,0.76,0.3430367040214022,0.5857794105908088,0.7649805622233483,1.180706745938914
277,3.0,0.77,0.3430367040214022,0.5898781975382887,0.7649805622233483,1.184584711968679
278,3.0,0.78,0.3430367040214022,0.5939804069177503,0.7649805622233483,1.1884069880910015
279,3.0,0.79,0.3430367040214022,0.598085789725207,0.7649805622233483,1.192174097405557
280,3.0,0.8,0.3430367040214022,0.6021941073509698,0.7649805622233483,1.1958865675864598
281,3.0,0.81,0.3430367040214022,0.6063051311642849,0.7649805622233483,1.1995449303340222
282,3.0,0.8200000000000001,0.3430367040214022,0.6104186421152966,0.7649805622233483,1.2031497208559365
283,3.0,0.8300000000000001,0.3430367040214022,0.6145344303534952,0.7649805622233483,1.2067014773763611
284,3.0,0.84,0.3430367040214022,0.6186522948620057,0.7649805622233483,1.2102007406714608
285,3.0,0.85,0.3430367040214022,0.6227720431068975,0.7649805622233483,1.2136480536300471
286,3.0,0.86,0.3430367040214022,0.6268934907009751,0.7649805622233483,1.2170439608380756
287,3.0,0.87,0.3430367040214022,0.6310164610813062,0.7649805622233483,1.220389008185803
288,3.0,0.88,0.3430367040214022,0.6351407851999402,0.7649805622233483,1.2236837424963576
289,3.0,0.89,0.3430367040214022,0.6392663012272508,0.7649805622233483,1.2269287111748806
290,3.0,0.9,0.3430367040214022,0.6433928542672777,0.7649805622233483,1.2301244618769869
291,3.0,0.91,0.3430367040214022,0.6475202960846779,0.7649805622233483,1.2332715421957507
292,3.0,0.92,0.3430367040214022,0.6516484848426221,0.7649805622233483,1.2363704993662312
293,3.0,0.93,0.3430367040214022,0.6557772848513144,0.7649805622233483,1.239421879986758
294,3.0,0.9400000000000001,0.3430367040214022,0.6599065663266006,0.7649805622233483,1.2424262297560609
295,3.0,0.9500000000000001,0.3430367040214022,0.6640362051582164,0.7649805622233483,1.245384093225522
296,3.0,0.96,0.3430367040214022,0.6681660826873602,0.7649805622233483,1.2482960135659011
297,3.0,0.97,0.3430367040214022,0.6722960854930646,0.7649805622233483,1.2511625323476208
